"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","4","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"22C","17-18","44","Benches","142,989.99","Benches","No Issue","",""
"23B","17-18","45","Road Construction / Colouring Roads / Railing Work / Speed Breaker","198,800.00","Road","No Issue","",""
"23C","17-18","46","Benches","142,879.91","Benches","No Issue","",""
"23C","17-18","47","Benches","140,426.14","Benches","No Issue","",""
"26C","17-18","48","Benches","142,989.99","Benches","No Issue","",""
"26C","17-18","49","Benches","142,989.99","Benches","No Issue","",""
"22B","17-18","50","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","140,906.04","Nameplates","No Issue","",""
"22D","17-18","51","Garden / playground works","146,751.42","Garden","No Issue","",""
"22C","17-18","52","Drainage works","189,867.00","Drainage","No Issue","",""
"22C","17-18","53","Drainage works","187,868.40","Drainage","No Issue","",""
"26B","17-18","54","Electrification/new street lights","187,373.12","Electrification","No Issue","",""
"26B","17-18","55","Electrification/new street lights","187,709.15","Electrification","No Issue","",""
"23B","17-18","56","Electrification/new street lights","200,000.00","Electrification","No Issue","",""
"26B","17-18","57","Electrification/new street lights","134,887.90","Electrification","No Issue","",""
"23A","17-18","58","Fencing / walls / gates","83,861.66","Fencing","No Issue","",""
"23A","17-18","59","Fencing / walls / gates","90,243.09","Fencing","No Issue","",""
"23A","17-18","60","Pavement Blocks / Grouting / Laying tiles","151,811.67","Pavement blocks","No Issue","",""
"26B","17-18","61","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","114,626.82","Nameplates","No Issue","",""
"22C","17-18","62","Drainage works","125,978.78","Drainage","No Issue","",""
"23D","17-18","63","Pavement Blocks / Grouting / Laying tiles","135,754.73","Pavement blocks","No Issue","",""
"23D","17-18","64","Mainetnance and cleaning works","71,630.19","Cleaning","No Issue","",""
"22A","17-18","65","Benches","130,053.52","Benches","No Issue","",""
"22A","17-18","66","Benches","130,053.52","Benches","No Issue","",""
"22B","17-18","67","Steel bollards/poles","150,546.00","Steel Bollards","No Issue","",""
"23B","17-18","68","Drainage works","146,362.10","Drainage","No Issue","",""
"23B","17-18","69","Drainage works","138,272.68","Drainage","No Issue","",""
"26A","17-18","70","Building toilets / maintenance etc.","63,500.95","Toilet","No Issue","",""
"23B","17-18","71","Benches","197,130.07","Benches","No Issue","",""
"26B","17-18","72","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","151,096.84","Buildings","No Issue","",""
"26A","17-18","73","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","150,242.72","Buildings","No Issue","",""
