"Ward Office Name","Prabhag Name","Prabhag No.","Place","Corporator Name","Gender","Party","Criminal_Records (Yes/No)","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Budruk - Hingane Khurd","34","A","Prasanna Ghanshyam Jagtap","M","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Budruk - Hingane Khurd","34","B","Jyoti Kishor Gosawi","F","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Budruk - Hingane Khurd","34","C","Manjusha Deepak Nagpure","F","","","","","","","","","","","","","","","","","","","",""
"Sinhgad Road Ward Office","Vadgaon Budruk - Hingane Khurd","34","D","Shrikant Shashikant Jagtap","M","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Sahakar Nagar- Padmavati","35","A","Disha Rahul Mane","F","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Sahakar Nagar- Padmavati","35","B","Ulhas Vasantrao Bagul","M","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Sahakar Nagar- Padmavati","35","C","Ashwini Nitin Kadam","F","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Sahakar Nagar- Padmavati","35","D","Mahesh Narsing Wable","M","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Marketyard Lower Indira Nagar","36","A","Anusaya Abhiman Chavan","F","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Marketyard Lower Indira Nagar","36","B","Rajendra Yashwant Shilimkar","M","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Marketyard Lower Indira Nagar","36","C","Mansi Manoj Deshpande","F","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Marketyard Lower Indira Nagar","36","D","Sunil Dnyandev Kamble","M","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Upper Super Indira Nagar","37","A","Sathe Varsha Bhima","F","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Upper Super Indira Nagar","37","B","Dhadwe Rupali Dinesh","F","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Upper Super Indira Nagar","37","C","Oswal Bala alias Pramod Premchand","M","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Balajinagar Rajiv Gandhi Nagar","38","A","Dattatraya Babanrao Dhankawde","M","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Balajinagar Rajiv Gandhi Nagar","38","B","Bhosale Rani Rayba","F","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Balajinagar Rajiv Gandhi Nagar","38","C","Kadam Manishatai Rajabhau","F","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Balajinagar Rajiv Gandhi Nagar","38","D","Prakash Vithalrao Kadam","M","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Dhankavadi Ambegaon Pathar","39","A","Dhankawde Balabhau alias Kishor Uttam","M","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Dhankavadi Ambegaon Pathar","39","B","Ashwini Sagar Bhagwat","F","","","","","","","","","","","","","","","","","","","",""
